Parcel,Name,Address,Aldermanic District
60801213046,,,20
81034416174,,,17
81035106146,,,3
60801103221,,,10
60801105144,,,20
60801105160,,,20
60801109112,,,20
60801111068,,,10
60801111216,,,10
60801114062,,,10
60801115177,,,10
60801117149,,,20
60801118048,,,20
60801121091,,,20
60801122213,,,20
60801202164,,,20
81034107509,,,17
81034118035,,,17
81034202193,,,17
81034202268,,,17
81034207028,,,17
81034302092,,,3
81034303058,,,3
81034303123,,,3
81034309121,,,17
81034310037,,,17
81032430275,,,12
81033201229,,,12
81033202037,,,12
81033301029,,,3
81033306128,,,12
81033400904,,,3
81033402041,,,3
81034102187,,,17
81034105040,,,17
81034105123,,,17
81031419155,,,12
81032310146,,,12
81032403058,,,12
81032403123,,,12
81032406036,,,12
81032407026,,,12
81032409163,,,12
81032411027,,,12
81032413065,,,12
81032414055,,,12
81032414089,,,12
81032418073,,,12
81032424111,,,12
81032425044,,,12
81032427131,,,12
81031401102,,,12
81031402043,,,12
81031402134,,,12
81031405120,,,12
81031410046,,,12
81031411119,,,12
81031413032,,,12
81031413082,,,12
81031413149,,,12
81031414105,,,12
81031417068,,,12
81031209077,,,12
81031210149,,,12
81031210298,,,12
81031210305,,,12
81031213127,,,12
81031214208,,,12
81031214224,,,12
81031216080,,,12
81031217103,,,12
81031218143,,,12
81031222128,,,12
81031223051,,,12
81031223085,,,12
81031224215,,,12
81031226021,,,12
81031227128,,,12
81031229132,,,12
81031229140,,,12
81031401095,,,12
81030315015,,,12
81030316120,,,12
81030317186,,,12
81031201073,,,12
81031202021,,,12
81031203045,,,12
81031203136,,,12
81031204168,,,12
81031204176,,,12
81031208219,,,12
81030206090,,,18
81030210182,,,18
81030211130,,,18
81030212021,,,18
81030302020,,,12
81030303094,,,12
81030304084,,,12
81030304117,,,12
81030304125,,,12
81030306022,,,12
81030306056,,,12
81030310114,,,12
81027202043,,,17
81027401124,,,17
81028101046,,,17
81028102101,,,17
81028102200,,,17
81028105072,,,17
81028107078,,,17
81028107177,,,17
81028108068,,,17
81028108381,,,17
81028113059,,,17
81028113075,,,17
81028116029,,,17
81028116095,,,17
81028401066,,,17
81030202139,,,18
81030203210,,,18
81030205240,,,18
81022304167,,,17
81026204082,,,17
81026352039,,,17
81026352071,,,17
81026354043,,,17
81026355190,,,17
81026355364,,,17
81026355504,,,17
81026355611,,,17
81026356057,,,17
81026356099,,,17
81026356271,,,17
81026357039,,,17
81026361288,,,17
81026362252,,,17
81026364216,,,17
81026364274,,,17
81026365123,,,17
81019306043,,,18
81019306069,,,18
81019310086,,,18
81021103073,,,17
81021105011,,,17
81021105144,,,17
81021109063,,,17
81021301031,,,17
81021301205,,,17
81021301312,,,17
81021303392,,,17
81021304093,,,17
81021305215,,,17
81021309019,,,17
81021309027,,,17
81021309035,,,17
81021309043,,,17
81021309051,,,17
81021309069,,,17
81021309077,,,17
81021309085,,,17
81021402227,,,17
81021406120,,,17
81021407079,,,17
81021408019,,,17
81021413092,,,17
81021415163,,,17
81015104079,,,17
81015104152,,,17
81015104235,,,17
81015107049,,,17
81019302075,,,18
81019303114,,,18
81019304295,,,18
80936209017,,,18
80936210105,,,18
80936405102,,,12
80936406176,,,12
80936408099,,,12
80936408114,,,12
80936409063,,,12
80936413147,,,12
80936414046,,,12
80936414070,,,12
81015103154,,,17
80935105175,,,18
80935106066,,,18
80935106280,,,18
80935109127,,,18
80936200932,,,18
80936201261,,,18
80936202079,,,18
80936202128,,,18
80936207136,,,18
80926106166,,,18
80926106265,,,18
80926107081,,,18
80926108120,,,18
80926108138,,,18
80926110076,,,18
80926110357,,,18
80926111016,,,18
80926113161,,,18
80926113179,,,18
80926205025,,,18
80926302160,,,18
80926306196,,,18
80926309033,,,18
80926310022,,,18
80926402043,,,18
80926402118,,,18
80926403033,,,18
80926403116,,,18
80927401127,,,18
80927401135,,,18
80935101199,,,18
80935101230,,,18
80935102014,,,18
80935103137,,,18
80925410287,,,18
80925414148,,,18
80925416011,,,18
80925416160,,,18
80926103055,,,18
80926103237,,,18
80926104326,,,18
80926105241,,,18
80926105382,,,18
80926106033,,,18
80926106140,,,18
80925215041,,,18
80925216122,,,18
80925219100,,,18
80925219275,,,18
80925302070,,,18
80925303044,,,18
80925303284,,,18
80925304068,,,18
80925305123,,,18
80925306353,,,18
80925306436,,,18
80925307195,,,18
80925308127,,,18
80925401129,,,18
80925403076,,,18
80925403240,,,18
80925408159,,,18
80925202048,,,18
80925206107,,,18
80925206264,,,18
80925210306,,,18
80925212170,,,18
80925212196,,,18
80924446085,,,18
80925103080,,,18
80925104377,,,18
80925105086,,,18
80925105135,,,18
80925107040,,,18
80925107214,,,18
80925108147,,,18
80925110027,,,18
80925111265,,,18
80924105061,,,18
80924303053,,,18
80924304077,,,18
80924304184,,,18
80924308079,,,18
80924309100,,,18
80924311098,,,18
71034105166,,,16
71034106130,,,16
71034108160,,,16
71034109241,,,16
71035103185,,,16
71035109109,,,16
71035112079,,,16
71035112087,,,16
71035113019,,,16
71035114075,,,16
71035114182,,,16
71035114215,,,16
71035114348,,,16
71035115049,,,16
71035115106,,,16
71035120056,,,16
71035121070,,,16
71035124016,,,16
71035124032,,,16
71035125014,,,16
71035125022,,,16
71035125030,,,16
71035125048,,,16
71035125056,,,16
71035125064,,,16
71035125072,,,16
71035125080,,,16
71035125098,,,16
71035125105,,,16
71035125113,,,16
71035125121,,,16
71035125139,,,16
71035125147,,,16
71035125155,,,16
71035125163,,,16
71035125171,,,16
71035125189,,,16
71035125197,,,16
71035125204,,,16
71035125212,,,16
71035125220,,,16
71035125238,,,16
71035125246,,,16
71035125254,,,16
71035125262,,,16
71035125270,,,16
71035125288,,,16
71035125296,,,16
71035125303,,,16
71035125311,,,16
71035125329,,,16
71035206088,,,16
80924101051,,,18
80924101233,,,18
71030201083,,,14
71030204194,,,14
71030205077,,,14
71030210026,,,14
71030213103,,,14
71031101018,,,14
71032200984,,,14
71034101304,,,16
71034103508,,,16
71034105067,,,16
71021222155,,,15
71021222204,,,15
71021223038,,,15
71022303045,,,16
71024401045,,,16
71026404055,,,16
71027407074,,,16
71027408030,,,16
71027411249,,,16
71027413013,,,16
71028200998,,,14
71030201033,,,14
71016410070,,,15
71016412092,,,15
71019402040,,,14
71019402090,,,14
